"EDITAR";"ID_PROGRAMA";"PROGRAMA";"REGION";"CANAL";"GENERO";"TEMA";"PERIODO";"DIAS";"RATING";"MILES";"COSTO";"F_CREACION";"C_USUARIO";"MANUAL";
"
";"34822";"CHECK IN LMA";"x";"CANAL 06";"MAGAZINE";"11:30:00";"11:00:00";"L-V";"0";"0";"0";"20/06/17";"AUROCO";"S"
"
";"34842";"SARAS & KUMUD";"x";"CANAL 05";"NOVELA";"16:30:00";"15:00:00";"L-V";"0";"0";"0";"21/06/17";"AUROCO";"S"
"
";"34882";"AQUI TODO ES SALUD CON EL DR. QUITO";"x";"CANAL 05";"SALUD";"12:00:00";"11:30:00";"S";"0";"0";"0";"27/06/17";"AUROCO";"S"
"
";"34942";"AMERICA NOTICIAS: ESPECTACULOS LV";"x";"CANAL 04";"MAGAZINE";"09:30:00";"08:30:00";"L-V";"0";"0";"0";"11/07/17";"AUROCO";"S"
"
";"34962";"MUJERCITAS";"x";"CANAL 04";"NOVELA";"22:30:00";"21:30:00";"L-V";"0";"0";"0";"17/07/17";"AUROCO";"S"
"
";"34982";"ROTATIVO 00:00 - 06:00 HRS. (EL SHOW DEL FUTBOL LVN)";"x";"CANAL 02";"DEPORTES";"00:30:00";"00:00:00";"L-V";"0";"0";"0";"18/07/17";"AUROCO";"S"
"
";"34983";"ROTATIVO 06:00 - 18:00 HRS, (AMOR ETERNO)";"x";"CANAL 02";"NOVELA";"19:00:00";"17:30:00";"L-V";"0";"0";"0";"18/07/17";"AUROCO";"S"
"
";"35042";"ESPECIAL FIESTAS PATRIAS PANAMERICANA 28/07";"x";"CANAL 05";"MAGAZINE";"13:00:00";"07:00:00";"D";"0";"0";"0";"24/07/17";"AUROCO";"S"
"
";"35043";"ESPECIAL FIESTAS PATRIAS LATINA 28/07";"x";"CANAL 02";"MAGAZINE";"13:00:00";"07:00:00";"D";"0";"0";"0";"24/07/17";"AUROCO";"S"
"
";"35063";"MATINEE AMERICA ST";"x";"CANAL 04";"PELICULA";"17:00:00";"15:00:00";"S";"0";"0";"0";"25/07/17";"AUROCO";"S"
"
";"35082";"ROTATIVO 06:00 - 18:00 HRS, (LA PREVIA DEL SHOW DT)";"x";"CANAL 02";"DEPORTES";"16:00:00";"15:30:00";"D";"0";"0";"0";"26/07/17";"AUROCO";"S"
"
";"34283";"PRIMERO A LAS 8 DN";"x";"CANAL 08";"NOTICIERO";"21:00:00";"20:00:00";"D";"0";"0";"0";"16/02/17";"AUROCO";"S"
"
";"35122";"A BOCAJARRO DT";"x";"CANAL 08";"PERIODISTICO";"15:00:00";"14:00:00";"D";"0";"0";"0";"08/08/17";"AUROCO";"S"
"
";"35162";"BLOQUE DE DEPORTES (22:40 - 23:00 HRS.)";"x";"CANAL 08";"DEPORTES";"23:00:00";"22:40:00";"L-V";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35163";"BLOQUE DAY LV (07:00 - 08:30 HRS.)";"x";"GOLPERU";"DEPORTES";"08:30:00";"07:00:00";"L-V";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35164";"BLOQUE DAY SD (07:00 - 08:30 HRS.)";"x";"GOLPERU";"DEPORTES";"08:30:00";"07:00:00";"S-D";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35165";"BLOQUE DAY LV (13:00 - 15:00 HRS.)";"x";"GOLPERU";"DEPORTES";"15:00:00";"13:00:00";"L-V";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35166";"BLOQUE DAY SD (13:00 - 15:00 HRS.)";"x";"GOLPERU";"DEPORTES";"15:00:00";"13:00:00";"S-D";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35167";"BLOQUE PRIME LV (21:00 - 22:00 HRS.)";"x";"GOLPERU";"DEPORTES";"22:00:00";"21:00:00";"L-V";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35171";"GOLREPLAY REP. LV (23:00 - 23:30 HRS.)";"x";"GOLPERU";"DEPORTE";"23:30:00";"23:00:00";"L-V";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35169";"BLOQUE PRIME SD (21:00 - 22:00 HRS.)";"x";"GOLPERU";"DEPORTES";"22:00:00";"21:00:00";"S-D";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35170";"GOLREPLAY LV-N";"x";"GOLPERU";"DEPORTES";"20:30:00";"20:00:00";"L-V";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35172";"GOLREPLAY REP. LV (06:00 - 06:30 HRS.)";"x";"GOLPERU";"DEPORTES";"06:30:00";"06:00:00";"L-V";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35173";"GOLREPLAY REP. S (07:30 - 08:00 HRS.)";"x";"GOLPERU";"DEPORTES";"08:00:00";"07:30:00";"S";"0";"0";"0";"10/08/17";"AUROCO";"S"
"
";"35182";"LA PREVIA - CHIMBOTE";"x";"AMERICA TELEVISION FILIALES";"DEPORTES";"20:00:00";"19:30:00";"D";"0";"0";"0";"11/08/17";"AUROCO";"S"
"
";"35183";"LA PREVIA - CHICLAYO";"x";"AMERICA TELEVISION FILIALES";"DEPORTES";"20:00:00";"19:30:00";"D";"0";"0";"0";"11/08/17";"AUROCO";"S"
"
";"35184";"LA PREVIA - ICA";"x";"AMERICA TELEVISION FILIALES";"DEPORTES";"20:00:00";"19:30:00";"D";"0";"0";"0";"11/08/17";"AUROCO";"S"
"
";"35185";"LA PREVIA - TRUJILLO";"x";"AMERICA TELEVISION FILIALES";"DEPORTES";"20:00:00";"19:30:00";"D";"0";"0";"0";"11/08/17";"AUROCO";"S"
"
";"35186";"LA PREVIA - TARAPOTO";"x";"AMERICA TELEVISION FILIALES";"DEPORTES";"20:00:00";"19:30:00";"D";"0";"0";"0";"11/08/17";"AUROCO";"S"
"
";"35187";"FUTBOL EN AMERICA - CHIMBOTE";"x";"AMERICA TELEVISION FILIALES";"DEPORTES";"00:00:00";"22:30:00";"D";"0";"0";"0";"11/08/17";"AUROCO";"S"
"
";"35188";"FUTBOL EN AMERICA - CHICLAYO";"x";"AMERICA TELEVISION FILIALES";"DEPORTES";"00:00:00";"22:30:00";"D";"0";"0";"0";"11/08/17";"AUROCO";"S"
"
";"35189";"FUTBOL EN AMERICA - ICA";"x";"AMERICA TELEVISION FILIALES";"DEPORTES";"00:00:00";"22:30:00";"D";"0";"0";"0";"11/08/17";"AUROCO";"S"
"
";"35190";"FUTBOL EN AMERICA - TRUJILLO";"x";"AMERICA TELEVISION FILIALES";"DEPORTES";"00:00:00";"22:30:00";"D";"0";"0";"0";"11/08/17";"AUROCO";"S"
"
";"35191";"FUTBOL EN AMERICA - TARAPOTO";"x";"AMERICA TELEVISION FILIALES";"DEPORTES";"00:00:00";"22:30:00";"D";"0";"0";"0";"11/08/17";"AUROCO";"S"
