"EDITAR";"C_ORDEN";"C_CONTRATO";"C_CLIENTE";"C_EJECUTIVO";"PRODUCTO";"MOTIVO";"DURACION";"INICIO_VIGENCIA";"FIN_VIGENCIA";"C_MONEDA";"INVERSION";"OBSERVACIONES";"F_CREACION";"C_USUARIO";"C_MEDIO";"IGV";"REVISION";"ACTIVA";"TIPO";
"
";"AUROCO00163";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"MORENA";"20";"01/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN AUROCO00163
MATERIAL EN PODER DEL CANAL";"19/08/10";"AUROCO";"M02";"SI";"1";"";"NORMAL"
"
";"AUROCO00164";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHARAPA";"20";"01/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN AUROCO00164
MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M02";"SI";"1";"";"NORMAL"
"
";"AUROCO00165";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHINO";"20";"01/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN AUROCO00164 - AUROCO00165
MATERIAL NUEVO POR INGRESAR AL CANAL";"19/08/10";"AUROCO";"M02";"SI";"1";"";"NORMAL"
"
";"AUROCO00166";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"MORENA";"20";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR INGRESAR AL CANAL";"19/08/10";"AUROCO";"M01";"SI";"0";"";"NORMAL"
"
";"AUROCO00167";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHARAPA";"20";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M01";"SI";"0";"";"NORMAL"
"
";"AUROCO00168";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHINO";"20";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M01";"SI";"0";"";"NORMAL"
"
";"AUROCO00169";"T035";"C068";"EJ17";"UNIVERSIDAD PRIVADA TELESUP";"CARRERAS VIRTUALES II";"30";"02/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN AUROCO00169 RV. 3
MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M06";"SI";"4";"";"NORMAL"
"
";"AUROCO00170";"T035";"C068";"EJ17";"UNIVERSIDAD PRIVADA TELESUP";"UNIVERSIDAD PRIVADA TELESUP - CARRERAS VIRTUALES II";"30";"02/08/10";"31/08/10";"";"";"CON CARGO AL CONTRATO CANJE 
MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00171";"T047";"C058";"EJ14";"UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA";"PRE MEDICINA";"20";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M00";"SI";"0";"";"NORMAL"
"
";"AUROCO00172";"T047";"C058";"EJ14";"UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA";"PRE MEDICINA";"20";"01/09/10";"30/09/10";"";"";"";"19/08/10";"AUROCO";"M00";"SI";"0";"";"NORMAL"
"
";"AUROCO00173";"T048";"C074";"EJ20";"CLORANDINA";"LAVAVAJILLA CLORANDINA";"15";"01/08/10";"31/08/10";"";"";"CON CARGO AL CONTRATO 
MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00174";"T048";"C074";"EJ20";"CLORANDINA";"LAVAVAJILLA CLORANDINA";"15";"01/09/10";"30/09/10";"";"";"CON CARGO AL CONTRATO CANJE";"19/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00175";"T046";"C073";"EJ7";"COLEGIOS TRILCE";"PRIMER PUESTO";"10";"19/08/10";"29/08/10";"";"";"MATERIAL EN PODER DEL CANAL
25% DE RECARGO SOBRE TARIFA AL FONDO HAY SITIO";"20/08/10";"AUROCO";"M00";"SI";"1";"";"NORMAL"
"
";"AUROCO00176";"T046";"C073";"EJ7";"COLEGIOS TRILCE";"PRIMER PUESTO";"10";"19/08/10";"29/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL";"20/08/10";"AUROCO";"M00";"SI";"0";"";"NORMAL"
"
";"AUROCO00177";"T046";"C073";"EJ7";"COLEGIOS TRILCE";"PRIMER PUESTO";"10";"19/08/10";"29/08/10";"";"";"LOS MONTOS CORRESPONDEN A TARIFA BRUTA 
MATERIAL NUEVO POR ENVIAR AL CANAL";"20/08/10";"AUROCO";"M01";"SI";"0";"";"NORMAL"
"
";"AUROCO00178";"T049";"C075";"EJ7";"LOTTOFACIL";"LOTTOFACIL";"15";"23/08/10";"23/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL 
";"23/08/10";"AUROCO";"M00";"SI";"0";"NO";"NORMAL"
"
";"AUROCO00060";"T013";"C04";"EJ22";"LICOR DE LECHE BERCHEVA";"LICOR DE LECHE BERCHEVA - PISCINA";"10";"12/07/10";"31/07/10";"";"";"MATERIAL EN PODER DEL CANAL";"07/07/10";"AUROCO";"M06";"SI";"0";"";"NORMAL"
"
";"AUROCO00059";"T013";"C04";"EJ22";"VINO GRAN BORGOÑA NOCHE BUENA";"VINO GRAN BORGOÑA NOCHE BUENA";"10";"12/07/10";"31/07/10";"";"";"MATERIAL EN PODER DEL CANAL";"07/07/10";"AUROCO";"M02";"SI";"0";"";"NORMAL"
"
";"AUROCO00078";"T022";"C02";"EJ4";"MOBILE SOLUTIONS";"LOCO POR TI - T - AL 4556";"15";"19/07/10";"31/07/10";"";"";"CON CARGO AL CONTRATO CANJE 
MATERIAL EN PODER DEL CANAL
ESTA ORDEN ANULA LA ORDEN DE TRANSMISION AUROCO00078";"16/07/10";"AUROCO";"M04";"SI";"1";"";"NORMAL"
"
";"AUROCO00079";"T022";"C02";"EJ4";"MOBILE SOLUTIONS";"ENAMORA";"15";"19/07/10";"31/07/10";"";"";"CON CARGO AL CONTRATO CANJE
MATERIAL EN PODER DEL CANAL
ESTA ORDEN ANULA LA ORDEN DE TRANSMISION AUROCO00079";"16/07/10";"AUROCO";"M04";"SI";"1";"";"NORMAL"
"
";"AUROCO00122";"T030";"C064";"EJ17";"UNIVERSIDAD DE CIENCIAS Y HUMANIDADES - UCH";"EXAMEN DE ADMISION 15 DE AGOSTO";"20";"01/08/10";"15/08/10";"";"";"CON CARGO AL CONTRATO CANJE 
MATERIAL NUEVO POR ENVIAR AL CANAL";"26/07/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00135";"T037";"C045";"EJ23";"CAMARAS FOTOGRAFICAS CANON";"EL PERÚ SE DESCUBRE MEJOR CON UNA EOS DE CANON";"20";"02/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN AUROCO00135
CON CARGO AL CONTRATO CANJE 
MATERIAL EN PODER DEL CANAL";"04/08/10";"AUROCO";"M04";"SI";"1";"";"NORMAL"
"
";"AUROCO00148";"T042";"C050";"EJ1";"QUIMICA MARTELL";"QUIMICA MARTELL - LANZAMIENTO";"15";"09/08/10";"31/08/10";"";"";"MATERIAL EN PODER DEL CANAL";"17/08/10";"AUROCO";"M06";"SI";"0";"";"NORMAL"
