"EDITAR";"C_CONTRATO";"C_CLIENTE";"INICIO_VIGENCIA";"FIN_VIGENCIA";"C_MONEDA";"INVERSION";"INVER_IGV";"MONTO_ORDENAR";"MONTO_OR_IGV";"OBSERVACIONES";"F_CREACION";"C_USUARIO";"RUC_CLIENTE";"NRO_FISICO";"FACTURADO";"TAZA_IGV";"TIPO_CAMBIO";
"
";"T0257";"C0106";"01/05/11";"31/05/11";"Dolares";"3360";"3964,8";"3360";"3964,8";"";"27/04/11";"AUROCO";"20216504390";"CAP 123-11";"";"18";""
"
";"T0258";"C0106";"01/05/11";"31/05/11";"Soles";"45920";"54186";"45920";"54186";"CONTRATO AVISOS TELEFECTIVOS MONTO EN DOLARES US$ 16,400.00 TIPO DE CAMBIO 2.8";"27/04/11";"AUROCO";"20216504390";"CAP 124-11";"";"18";""
"
";"T0259";"C0118";"01/04/11";"31/05/11";"Soles";"14112";"16652";"14112";"16652";"CONTRATO AVISOS TELEFECTIVOS MONTO EN DOLARES US$ 5,040.00 + IGV TIPO DE CAMBIO 2.8";"27/04/11";"AUROCO";"20518117395";"CAP 120-11";"";"18";""
"
";"T0260";"C0118";"01/04/11";"31/05/11";"Dolares";"11720";"13830";"11720";"13830";"";"27/04/11";"AUROCO";"20518117395";"CAP 120-11";"";"18";""
"
";"T0261";"C099";"01/05/11";"31/05/11";"Dolares";"1000";"1180";"1000";"1180";"";"28/04/11";"AUROCO";"20515232371";"CAP 114-11";"";"18";""
"
";"T0270";"C0122";"01/05/11";"31/07/11";"Dolares";"51825,38";"61153,9484";"51825,38";"61153,9484";"";"13/05/11";"AUROCO";"20132243230";"CAP 133-11";"";"18";""
"
";"T0282";"C0124";"01/06/11";"30/11/11";"Dolares";"178250";"210335";"178250";"210335";"";"09/06/11";"AUROCO";"20100227461";"CAP 127-11";"";"18";""
"
";"T0283";"C0124";"01/06/11";"30/11/11";"Soles";"273000";"322140";"273000";"322140";"CONTRATO AVISOS AMERICA TELEVISION MONTO EN DOLARES US$ 97,500.00 + IGV TIPO DE CAMBIO 2.8";"09/06/11";"AUROCO";"20100227461";"CAP 127-11";"";"18";""
"
";"T0284";"C02";"01/06/11";"31/07/11";"Soles";"21167,96";"24978,1928";"21167,96";"24978,1928";"CONTRATO AMERICA TELEVISION PMOVIL MONTO BRUTO US$ 7,559.99 + IGV TIPO DE CAMBIO 2.8";"13/06/11";"AUROCO";"20517845532";"CAP 143-11";"";"18";""
"
";"T0285";"C0104";"01/06/11";"30/06/11";"Dolares";"375";"443";"375";"443";"";"14/06/11";"AUROCO";"20431684871";"CAP 144-11";"";"18";""
